,Smiles,S_Hit
64919,Brc1ccccc1C(=O)Nc2nc(cs2)c3ccccn3,Yes
64923,COc1ccc(cc1)c2nc(NC(=O)CS(=O)(=O)c3ccc(F)cc3)sc2C,Yes
64924,Oc1ccccc1NC(=O)c2ccc(Oc3cccc(c3)C(=O)Nc4ccccc4O)cc2,Yes
64927,Cc1ccc(Nc2nc(cs2)c3ccccn3)cc1,Yes
64931,CC(O)(C(CN1CCCCC1)c2ccccc2)c3ccc(Cl)cc3,Yes
64932,c1(cc(Br)ccc1O)CN(CC2)CCN2Cc3cccc(F)c3,Yes
64933,Oc1ccc(Br)cc1CN2CCN(Cc3ccc(Cl)cc3)CC2,Yes
64934,COc1ccc(CN2CCN(Cc3ccccc3)CC2)c(O)c1,Yes
64935,Oc1ccccc1CN2CCN(CC2)C(c3ccccc3)c4ccccc4,Yes
64937,CCOc1ccc(CN2CCN(CC(O)COc3ccc(OCC(O)CN4CCN(Cc5ccc(OCC)cc5)CC4)cc3)CC2)cc1,Yes
64940,CCOC(=O)C1=CN(CC)c2cc(N3CCCCC3)c(F)cc2C1=O,Yes
64941,CCOC(=O)C1=CN(CC)c2cc(N(C)CCc3ccc(OC)c(OC)c3)c(F)cc2C1=O,Yes
64942,CCC(C)NCC(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2,Yes
64943,CCCCNCC(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2,Yes
64945,CCOc1cc2CCNC(c3cc(Cl)ccc3O)c2cc1OCC,Yes
64946,CCOc1cc(cc(Cl)c1O)C2NCCc3cc(OCC)c(OCC)cc23,Yes
64947,CCOc1cc2CCNC(c3cc(C)c(O)c(C)c3)c2cc1OCC,Yes
64948,CCOc1cc2CCNC(c3cc(OC)c(O)cc3Cl)c2cc1OCC,Yes
64949,CC(C)c1ccc(CNCC(O)c2ccccc2)cc1,Yes
64950,CCOc1c(Cl)cc(CNC(C)C(O)c2ccccc2)cc1OC,Yes
64951,c1(OCC)c(OC)cc(cc1Cl)CN([H])CC(O)c2ccccc2,Yes
64952,COc1cc(CNCCc2ccc(Cl)cc2)cc(OC)c1O,Yes
64953,c1(OCC)c(OCC)cc(cc1Cl)CN([H])C(C)C(O)c2ccccc2,Yes
64954,CCc1ccc(CNCC(O)c2ccccc2)cc1,Yes
64957,COc1ccc(cc1CN2CCN(CC2)c3ccc(F)cc3)C4NCCc5c4[nH]c6ccccc56,Yes
64958,CCOc1cc(Br)c(cc1OCC)C(C)NC(=O)c2cccc(OC)c2,Yes
