,Smiles,Hit
16980,CCn1ccnc1CN(C)C1CCCN(CCc2ccccc2)C1,Yes
17022,Cc1cccc(CNC2CC3(CCN(CCO)CC3)c3ccccc32)n1,Yes
17037,CC(N)Cc1ccccc1Sc1ccccc1,Yes
17065,CN(C)CCN1CCC(NC2CSCCc3ccccc32)CC1,Yes
17116,N[C@H]1CN(CCCOc2ccccc2)C[C@@H]1C1CC1,Yes
17132,CN1CCN(c2ccccc2CNC(=O)Cc2cccc(F)c2)CC1,Yes
17214,Fc1ccc(C2(CNC3=NCCN3)CCCC2)cc1,Yes
17262,CCC(=O)NCC(=O)NCC(C)(C)c1cccc(Br)c1,Yes
17310,Cc1ccc2c(c1)C(N(C)C)CC21CCN(CCO)CC1,Yes
17316,CC(C)NC(=O)C1(Cc2ccccc2-c2ccccc2)CCCNC1,Yes
17328,CNc1nc(C)cc(NCc2cc(C)cc3c(C)c(C)[nH]c23)n1,Yes
17458,Clc1cccc(CNC2CCN(CCc3ccncc3)CC2)c1,Yes
17574,c1coc(-c2nc(CNC3CCC4(CCNCC4)CC3)no2)c1,Yes
17670,CN(C)CC(=O)N1C[C@H]2CCC[C@@]2(COc2ccccn2)C1,Yes
17685,COc1cc(CNCC(O)c2cccc(F)c2)cc2c1OCO2,Yes
17742,Cc1nc(CN2CCCC2c2noc(C3CC3)n2)nc2ccccc12,Yes
17743,NC(CC1CCCC1)c1ccc(Oc2ccccc2)cc1,Yes
17790,OC1(CN2CCC(Oc3cccc(C(F)(F)F)c3)CC2)CCNC1,Yes
17870,Cc1cc(N2CCCN(CCc3ccccc3)CC2)ccn1,Yes
17878,CC(C)=CCN1CCC2(CC1)CC(=O)N(Cc1cc(F)cc(F)c1)C2,Yes
17900,Fc1ccc2c(c1)C1(CCNCC1)CC2OCC1CC1,Yes
17919,COc1ccc(-n2cccn2)c(CN2CCOCC(CN(C)C)C2)c1,Yes
17939,c1ccn2cc(CN3CCCC(c4ccn[nH]4)C3)nc2c1,Yes
17996,Cc1ccc(CNCCC(O)(c2nccn2C)C(F)(F)F)o1,Yes
18078,COc1cccc(-c2nc(CNCCCn3cccn3)cs2)c1,Yes
18123,COc1cccc(S(=O)(=O)N2C[C@@H](N(C)C)[C@H](C(C)C)C2)c1,Yes
18166,CN(Cc1ccon1)c1nc(-c2ccccn2)nc2c1CCNCC2,Yes
18244,Clc1ccccc1C1(c2ccnc(-c3ccncc3)n2)CCNCC1,Yes
18393,Cc1cnn(CCNCC(O)c2ccc(C(F)(F)F)cc2)c1,Yes
18539,CC(C)[C@H](CO)Nc1nccc(-c2c[nH]nc2-c2ccncc2)n1,Yes
18557,Cc1ccc(C2(CN3CCN(Cc4cnc(C)n4C)CC3)CC2)cc1,Yes
18677,Cc1sc2nc(CCN)nc(N3CCC(N4CCCC4)CC3)c2c1C,Yes
